[[404 3276 470 3730 3814 3040 542 3648 3865 238 1998 4032 78 2019 125 1265 578 2483 732 2834 3726 2227 2247 722 17 2541 2947 2130 3217 3172 351 3839 1398 1029 2594 1227 3817 2515 552 763 3520 2067 533 1343 3668 3467 1047 880 3423 2396 2996 80 1564 1237 3153 1919 804 966 190 3984 1154 1555 513 1851 603 797 1080 1115 3339 2830 2634 1076 2172 2917 278 3937 1464 2913 753 2773 1048 715 2672 2605 3409 1014 295 3911 1209 1481 1419 934 2421 1262 931 1928 1907 3669 3859 1060]
[3077 3497 3797 88 1068 2254 1691 1104 1505 1811 3582 750 1524 3118 2667 2491 1950 2658 2730 3439 3559 3820 1583 1759 2010 17 2791 2797 1164 3991 2516 2784 1767 1790 3255 306 3624 594 2994 1043 637 216 3215 2461 1480 2570 1012 1451 3771 130 1885 1144 2061 3237 1956 3587 1905 3940 824 3403 2316 198 1477 544 3160 2605 3633 193 54 3449 1433 2631 1631 1924 1865 3769 1955 2286 1599 872 1989 69 794 1561 2589 376 1065 1433 3800 3977 2188 4075 2370 1863 2091 887 1407 1992 2991 1914]
[2862 4090 3960 995 2391 2510 3095 1122 3463 1522 2333 2565 1922 1705 1085 1370 4072 1408 2008 306 3171 469 2342 1235 1365 2787 1021 3610 1831 2491 455 3237 3825 2791 1494 1268 1077 59 2950 2549 1985 2595 3067 2682 2456 3778 1406 3843 3637 4056 1491 196 3334 1906 652 1075 2704 3675 1447 1726 1283 3447 2338 118 1766 2651 3400 2251 2631 1460 3387 3821 3584 859 1912 1162 2741 3436 3365 382 3782 2350 2915 3095 3486 908 2156 2156 2621 221 3612 4041 3077 564 3230 231 3143 2169 488 639]
[88 301 1177 3827 3080 2230 325 3284 3127 1602 1756 1619 3355 2516 3526 2512 3500 865 3781 2932 802 2185 3997 3361 2192 1293 1834 482 937 1549 2776 2610 348 2464 897 1582 2306 3054 400 1617 1648 2907 2916 258 303 2739 603 801 2620 1432 1375 1426 126 1756 2398 2091 1390 1212 3345 202 226 3750 1249 3423 829 2783 755 2346 4085 3404 2996 3260 2365 350 3588 1856 2732 2468 745 3350 1718 359 2185 1262 3913 2 722 3374 1792 1723 3587 3420 313 4059 1437 3133 815 2334 432 1683]
[760 848 3568 3599 3026 1552 3389 1576 1939 1077 2455 2591 198 1713 2941 2120 3980 619 2344 1925 369 1408 4011 3588 392 2174 1799 4066 2544 3595 1764 3890 2555 1822 3574 3560 3912 2217 648 949 3819 3856 3446 1767 3872 2301 1005 1843 115 503 1735 137 3105 2283 2377 1111 673 1368 3038 2655 3319 708 3939 852 1474 3113 3183 2868 683 3934 1108 551 4062 242 3211 528 188 1187 2366 2048 3347 3569 1267 3403 1450 1174 3952 3563 1223 1760 3696 2637 3010 1063 2112 1002 2589 409 3902 3986]
[2125 1949 3856 2658 3351 984 918 3411 504 1392 1350 1176 733 1871 132 1512 1481 2997 1055 47 3409 3106 1714 3790 2888 3743 2913 2028 652 158 1953 2179 2537 1026 1766 1544 2483 3569 579 3136 1457 994 2858 926 423 2268 2086 4031 3858 2190 975 3841 630 3903 327 617 790 2209 3893 3879 1405 2098 4031 620 2321 4071 1665 2454 3274 2712 3511 2940 1931 2519 3758 2692 1534 1226 416 3713 97 1007 2149 2927 1915 283 3 2329 161 3357 2815 3993 2348 3803 2966 582 950 2558 1861 1923]
[1013 1301 2980 916 3891 1493 3813 2952 1262 2158 1504 3046 3361 1550 1466 178 1280 953 3350 1695 862 380 595 2602 1495 497 1784 1684 3929 3850 1956 3683 3151 1253 3061 2977 2399 3171 517 1115 2547 2430 1170 3146 784 671 3833 45 1878 3029 275 2580 3045 3417 1382 583 2085 2032 1804 1491 3300 1260 2228 1517 2211 1728 1283 3764 175 622 2852 454 2006 3127 453 1729 2689 1008 551 2599 3191 3482 2721 1036 3086 3462 801 1780 2103 3437 2411 3347 3516 2849 3428 743 3687 1598 2582 3144]
[635 2024 3967 49 3731 1102 679 1965 3980 3952 2087 246 2145 402 3116 346 3783 1468 3323 4074 1691 286 2962 3735 125 3089 835 3541 3974 783 187 493 2037 1535 1492 2201 3647 2731 3917 3639 3829 329 4084 3125 2177 2113 121 3902 1531 3932 225 1338 2156 1629 3537 1939 1910 2326 3937 521 1812 2525 103 1985 2150 1809 365 1203 164 85 1008 3087 1460 33 3177 1850 3616 3711 3379 1702 1431 1675 1692 2345 3459 2136 1725 721 822 325 1495 1874 1828 3681 2977 432 1239 2278 693 235]
[636 1736 2897 2806 372 3933 2727 1051 2081 2319 3911 3632 652 68 4057 2980 1792 2582 2082 2641 3617 2746 452 65 3422 731 3019 1270 3564 40 3730 1246 3077 763 180 1876 2094 384 1228 1676 1675 2804 1137 937 2846 2901 2115 3928 2156 2199 2166 2228 1035 914 305 2580 2046 2957 1051 196 4034 1355 1175 367 1137 3979 2898 3247 1612 3211 2628 1544 851 3165 3507 3511 2567 4009 284 914 1384 1137 3890 936 383 2718 449 1330 232 99 3514 1864 2518 3564 1816 1786 2835 1886 4059 3420]
[1344 3797 3434 3217 3113 3265 2406 3819 459 2593 3729 651 2896 3888 1310 198 620 3644 3001 1041 2715 4075 3653 2035 3856 3211 2428 1297 4092 2224 3795 405 2890 2432 2597 1406 2716 3208 1773 2126 1084 373 3371 1880 3951 21 1905 2771 3988 1345 3679 790 2794 3067 3879 2155 3912 2285 2804 2213 74 2252 472 977 2929 468 837 1893 2802 2922 79 2920 1105 3705 2043 3654 3919 2362 3710 1182 3631 4081 2356 2280 2842 1115 1844 2407 954 591 1106 2415 2892 3106 3714 2694 124 500 1926 3330]
